text,sentiment
hearing the birds chirp makes me think its nice outside...well its not  rain rain go away!!!,positive
I love my big brother very much.,positive
I almost say 'bless you' to a sneezing cat,positive
 me either,neutral
"off to bed, night every onee",neutral
is suprisingly okay. or possibly still drunk. goodbyes suck though,neutral
"horrible dreams last night  also had one in which i was employed...sigh, if only.",neutral
Writing this paper is a lot harder then i thought . LOL,negative
     my bracelet broke today too.,negative
I had my hair cut today and my boyfriend didn`t notice....,neutral
 follow me please!,neutral
My eyes hurt,negative
 I feel like I haven`t talked to you in a really really long time.,negative
follow me!,neutral
Morning all! Something for the weekend and leftover dominos. Noiiiiice,positive
Finished dexter season2    start on season 3 next week?,neutral
"_Mary_Typhoid Are you coming to the wedding?  I want all of his friends to be there?     Right, sugar?",neutral
 i love that song,positive
" http://twitpic.com/4i2zu - wow, thats so cool!",positive
I wish the sun would come out...I guess it doesn`t matter since I`m at work and can`t enjoy it anyways,negative
Buried under more web changes. Going to make lunch now... I won`t have a chance later. Too much to do.,negative
tired as ****. it`s pissing down with rain. i miss summer,negative
resting had a whole day of walking,neutral
http://twitpic.com/4wkzi - before prom. this is when all the chaos began,negative
i feel like watching a disney movie...too bad we dont have a vcr anymore,negative
" haha, its cos one of your `tweets` was smile smile smile, so i quoted the boys in reply",positive
It just had to rain on me almost a perfect day now my clothes are wet,negative
i need a jb but i dread the fact that it will have to be retail this summer,negative
Why doesn`t McDonald`s make PINEAPPLE pies?,neutral
is back to revision. Bye bye Hannah  <3,neutral
 hahha I don`t do drugs though,neutral
i am on BLAZE and my head hurts.,negative
lip syncing 'im so excited' wit blairr then were gonna youtube it,neutral
2 coins people,neutral
3 shots of espresso aaaaand....nothin`.,neutral
Willie is pouting because Grandma didn`t put any treats on my food  http://apps.facebook.com/dogbook/profile/view/6877293,negative
" I can understand, pains been part of my life for a long time now  I hope you feel a bit better soon.",neutral
shower before doctor`s appointment,neutral
At envy! Loving it  best club ever.,positive
 I`m sleeping on the wooden couch tonight!,neutral
i hate having the same hair for too long. i think i want super looong hair now,negative
Ugh cramps  and it`s hot,negative
"It`s called communifuckingcation.....learn it, know it, do it. These stupid **** people!",negative
Making yet another attempt to attend church on a Sunday morning!  Looking forward to it y`all.,neutral
" - Aww, yeah, dear Nicky  .",neutral
 ugh. it sounds like a busted cable box then  what time zone are you in?,negative
"Just watched the trailer for the new Sam Raimi movie, Drag me to Hell.  Looks interesting, but there was no humor in it.",neutral
"I did the dishes and I`m now on a train to Newcastle. Have to leave #nontweetinggirlfriend behind for 2 weeks, which is always a bit sad",negative
   hi holly  i`ll volunteer to try it out first for u! hope ur having a fab weekend xoxox...,positive
My birthday is a week from today!,neutral
Happy mother`s Day!!!! No gift to your mother can ever equal her gift to you - life,positive
Mango Medley has yummy mango and mango ice cream!,positive
 I think you and Tamera should have your own show anyway...the CW or ABC fam is not appreciating you like they should.,negative
I`m so tired. I don`t get how I am. I sat on the lawn mower and didn`t push the whole **** thing.,negative
It`s a sad day for beer drinking movie goers. The Speakeasy theaters are no more,negative
 cool. looking forward. san francisco was really nice. didn`t make it out to napa though  maybe next time.,positive
" - We drank ours away, May Day Bank Holiday today",neutral
#Supernatural at 9:30pm on #Ten.. Counting down..,negative
 May be back later...hope you have a good day  Byeeee ****,positive
"i`m actually starting to quite like lily allen and her music, to be honest.",positive
" Thanks, Brad!  Looking forward to chatting with you too.. btw, like your new pix!",positive
 have a good show,positive
 i`m fine thanks  wbu?,positive
i joined this because i think my smith chips invent a flavour competion entry wont be recognised  its  SWEETPOTATOE AND SEASALT  flavour ?,neutral
I REALLY wish I was spoiled!,negative
owww i think i tore something in my leg,negative
Can`t play World in Conflict because the computer is running too slow,negative
"thanks 2 become my friend,twitter..  selalu ada ruang untuk sahabat",positive
Sephora is having a 75% off sale. And I`m so broke  Life isn`t fair.,negative
May the 4th be with you. Happy Star Wars Day!  http://ow.ly/52Aw,positive
" Speaking of which, we need to talk soon.",neutral
schoool time. not doing much this week.  about 20 more days of school and it`s time for NYC!  can`t wait for the last day of school.,positive
dont get to see my boys tomorroww.im sad,negative
Finally got a call for marriage counseling 3 days late....,neutral
May the 4th be with you    Happy Star Wars Day !!!,positive
 yeah! i love this one and doesn`t really matter,neutral
 I love flock on ubuntu,positive
Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn`t try for uni.,neutral
"Celebrated 18,000 plays on Last.fm with Dez Moines by #tdwp http://bit.ly/GWUHX",positive
Getting one of the lil GEM`s ears REpierced after work today- definitely dreading it,negative
  If I told you how often I wash my hair you would never speak to me again,neutral
Sitting and waiting and hoping this lady would hurry the hell up... I hate moving... It super sucks...,neutral
 l`m on 3 days too matt. No fun this weekend.,negative
Zapatos for trashcan nachos and then an epic night,positive
Today`s ABA has been full of emotional tears  #ASD #autism some days are harder than others.  Its hard to not intervene  poor baby,negative
 thanx for the msg! glad u liked my singing!,positive
   I need a wardrobe intervention,neutral
Supernatural was good as  Loved it.,positive
http://bit.ly/sJDLp  - Great Song! Cobra Starship Feat. Leighton Meester,positive
_berra happy birthday!,positive
uhh I wish someone would include me in their follow friday - would be great to get more followers,positive
" yeah but they had to come barcelona, because not all the fans can be in that concert  COME BARCELONA! JESSI TE QUIERO",neutral
Reds win! Great end to a great day,positive
 welcome back! I`m stuck in jury duty today.,neutral
"not enjoying this cold, raininy Boston day.  I think my new metal back doesn`t like getting wet. ;-)",negative
Theres a spider above my bed  calming my fears by listening to greeeeen day<3,positive
Oh good. I get to be the gooseberry all night now that katy isn`t coming,positive
" def see ya tonight, we must get some RN photo`s, I didn`t get any yesterday  lol! And thanks for doing so, please don`t forget!",positive
is feeling sad  I so dont do goodbye`z!!!!,negative
Good morning to the world. Hope everyone is ok,positive
http://twitpic.com/4jhp8 - Waitin on them 2 tell me what`s the plan,neutral
 i am! lol its just i got used 2 talkin 2 ya..!,neutral
 Thank you! You know I really love `BHB`,positive
  Why?,neutral
 Have you guys heard about the flu that`s been going around? Swine Flu? Hope you guys are safe  There`ve been deaths already. :-S,neutral
Just watched Star Trek. A+! That was so well done. I think I`m down to see it again. Who wants to join me?,positive
I may have come down with something; we`re almost out of tissues!    this is not a good season  http://tinyurl.com/nccqya,negative
I`m sick!  it sucks! IM me! ohbabayy33,negative
Stupid competition stuff keeps getting in the way  But I am going to get some words in today if it kills me   _writes,negative
I`m so proud of Dr. House for detoxing.  His Amber hallucination is evil!!,positive
sorry guys i didn`t sign in for a while  sorry every1,negative
Whew! Moving commercial-sized freezer and cooler a lot more work than I expected. Missing the HTC roundtable,positive
Listening music with my friend,neutral
 now cash u kno I`m not a hater.....jus upset I don`t have my update yet,negative
"Doing homework and then going to bed, have to leave at 6:50 tomorrow morning for work  and then i wont be off till 6",neutral
" there were attempts to somehow extend inner classes, which would be close to #closure, can`t find the ref ATM",neutral
Still gutted that man utd lost,negative
SATS  what the its just around the corner.,neutral
 'Thank god you didn`t go **** until after you had me...',neutral
Follow Friday rickbaker24 i only have 6 friends,neutral
"Hey David! Gone on the Eye yet? It`s my birthday, and you singing @ Ipswitch-best present ever! Have fun breakfast hunting!",positive
 im sure she`ll love em  how was work? x,positive
"my to do list is bananas, before i leave for Europe BOOOO",neutral
" Homework bound for the whole weekend, not so fun",negative
tonight was hilariouss  i loveeee everyone that was theree,positive
Tummy hurts  oh noes,negative
 No flame wars on this weeks episode?,neutral
lol i <3 spongebob,positive
  I don`t like Demi...I like La La Land and Don`t forget. Do you like Ashley Tisdale??,neutral
 hey you ****!! that`s kinda mean dont yu think?!,negative
 selena`s mom congratulations` have a nice day,positive
Watching 5 children and it.  i really should be studying. I`ll start soon :[,negative
 NICE TO TWEET U,positive
"for all the effort and time put into some of these relationships with people, you learn enough not to trust anyone...",negative
Wtf why am i JUST getting up now? HM:TM today  but before that... revision revision revision :/,negative
 I need them  It would`ve made my picture so much cooler. Mine are bottle green. Eeyea-thooo!,positive
 oh Nancy - so sorry for your loss  & wishing you the best!,neutral
let`s make this last forever.,positive
Life sucks if ur not having fun.,negative
 that sucks.   did you save any of it?,negative
YAY jack won. but downer i`ve just remembered its friday meaning i have work tomorrow,positive
my legs are soft  watching a move with my mommm short day @ workk,positive
Hey  'keep clear'   (robluketic live > http://ustre.am/2w5v),neutral
junk food and movies in a tshirt and sweats.... the only way tonight would be better is if I had someone to hang with,positive
Young money,neutral
" noooo! Little piggies.  i`ll vote anyway, hmpf. We need to hang out soon pls. :hugs!:",neutral
" Well we`ll have to organize one for when you can get down, can`t guarantee no oldies though",neutral
" Im not getting any treatments, we are just gonna hang out at the pool and the hot tubs.",negative
"first day on new job,, bought a new clothes already and it was 40% off for employee discount!",neutral
 hey!  sorry for the late reply.but i do plan on posting on both facebook and twitpic.,negative
" haha.. yes, i`m jealous! i don`t have money to do all that!",negative
I am finally plugged in to listen to Flashpoints on http//:www.kpfa.org shoutout  and have missed the segment about Chevron,negative
"Great meeting...lunch on the patio in the sunshine...nothing more perfect  busy day...time for bed, ahhhhh",positive
 totally agree,positive
 ps love the new profile pic!,positive
 ommg gurll why aren`t u going how sad,negative
  worse case scenario i`ll take tomorrow am off. are you still up or you just woke up?,neutral
 Sigh... you know I am...,neutral
work was splendid,positive
 back to the lovely land of the north,positive
" No, havent heard anything about the show   It hasnt been on on saturday nights, but there are the occasional sunday reruns.",neutral
"_Jamie How are ya, honey? What happend to  account  ?",neutral
" yeah, but no closer to the secret of stumble.",neutral
"talkshow with Larry, then Cage?",neutral
how do you twitter?,neutral
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive
" today 'sonny with a chance' came to brazil, i loved it!! you`re amazing <33 please reply",positive
Can`t sleep. **** morning will come to soon. Have to rest! It will be a new day. A perfect day to start new changes,neutral
my tummy hurts  i blame last night`s chinese food.,negative
I`m sooo HAPPY Demi`s back on twitter!,positive
 you own a didgeridoo?!?!,neutral
"ugh, not sure i have the patience or remaining intelligence at this point in the day (week?) to refactor and rewrite this package of code",positive
 Morning there.,neutral
"_song Glad you had a wondrous Beltaine! Mine was quiet, yet in sync with the season.  Miss you all...",neutral
 Hi there! Nice to meet you,positive
  cool its my P,neutral
"Off to see the Tinyï¿½s, thinking thoughts about smiles I caught from the radio  and big daft grin all over my face....",positive
"going to head to bed now finally...goodnight! Hopefully my dreams will consist of ravishing things, such as: Zachary Quinto.",positive
 Too much details !!!    (But glad he is better),positive
 guys why did paranoid drop out of the countdown?? thats so not fair  iv voted heaps for it!!!!!,negative
 oh gaha no of course i wasn`t offended why would i be?  i`d love to play for you some day,positive
_a The rocky kind! With little rockpools & octopi & shells & stuff. Now I want to be at the beach. Its the perfect overcast day.,positive
 Hi Miss.  Isabelle here. :],neutral
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral
Can`t believe preseason doesn`t start until August  football with drawls..,negative
"Zeb has napped for 6 hours already today, and is asleep again... he must be growing fast",positive
: psh...didn`t even pay for me though,negative
Aw .. the grillz in my background look like plaque ..,neutral
"battery is low boooooooo in Palm Springs, CA http://loopt.us/2SljBw.t",negative
It`s supposed to be even hotter today than yesterday.  Wearing shorts to work.,neutral
waching gray`s antomy,neutral
morning to all,neutral
Speedbumps suck when u gotta piss!!,negative
Just saw a male Baltimore oriole at our suet feeder and something enjoyed a lot of thistle from our new thistle feeder early this a.m.,neutral
getting ready to shop  birmingham here i come,neutral
"is watching 'Wall Street', and realizing that since it is on a movie channel she won`t get a potty break",neutral
 does that mean your going to block me?,neutral
 that sounds delicious,positive
Why oh why do I always forget to take the medication I`m *supposed* to take 30 minutes before breakfast? Just taking it now at 1:30,neutral
"wishes zak wuld trust me enough to give me bac my necklace  i want it back, but he thinks i`ll cut with it..... http://plurk.com/p/x2qkb",neutral
 Do tell...,neutral
" Urm, ouch, that sucks. You need crutches?  What happened? I hope you get/feel better soonest!",neutral
"hungry, but don`t have an appetite",negative
" Hey.  I won`t be coming to town this weekend, because I don`t have a day off until next friday.",neutral
 http://twitpic.com/4w9w6 - lol you sure love that sushi. you`ve tweeted many pictures of it.,positive
is feeling very sick,negative
Happy Mothers Day!!!!,positive
"is singing in the rain. Cover your ears, people",neutral
as we were disembarking @ Tswassen we saw a pod of killer whales ^^ i`d just finished pointing out that i`d never seen bc killer whales.,neutral
 sorry missed your post earlier about Edinburgh.  I am biased towards its awesomeness!  Glad you enjoyed your visit,neutral
"Cool music collection, can be used for non-intrusive background music - music from keygens!   http://www.keygenmusic.net",positive
http://twitpic.com/67fcj - what i have to resort to wearing today cause i haven`t finished my laundry. lol.,positive
" Err, I get that  Now, with the TimThumb, what`s with the url?",neutral
HAPPY MOTHER`S DAYYYY!!!,positive
"_dee yeah, i bought some when I was making those crispy waffles",neutral
http://twitpic.com/4whaf Tonight`s art show was a success.,positive
 naw...I`ll keep you in. Turns out you have the odd nugget of wisdom.,negative
Happy 2 b out of school!!!!!!! People just piss me off sometimes,positive
 nope - just playing with one  i think i`m going to wait for the next iphone,neutral
Oh tonight... Looking forward to it,positive
Bah! Still at work. Lol my feet hurt and my nose won`t stop running!,negative
is sitting in her nan`s bathroom dying her hair for the x factor auditions tomorrow,neutral
third driving lesson then back to the office,neutral
Thinking about all of the cleaning and organizing that needs to be done over the weekend!,neutral
"has got my xbox back  , i have a really sore knee cant walk",negative
Star Trek.. Did not disappoint!  5 star!!,positive
i am bored. :| any idea`s of a nice site?,neutral
"I got so much gray hair all of a sudden.  I just ordered me some Garnier Roasted Coffee from drugstore.com, well see how that goes.",neutral
"had an answered prayer which caught me by surprise. LORD, you are amazing!",positive
" Wish I`d had the balls, but with my 2 kids with me and not knowing how illogical these ppl can be, didn`t want to risk it",negative
  heheheheh... lol... I always figured he`d send them your way if he got any dupes... I felt bad not sending him stuff...,negative
 I`m just bustin` ya chops; it`s not bad. Never seen any real appeal to last.fm is all. Bad quality audio from **** artists,neutral
"Glad I went out, glad I didn`t leave early, and glad to be afterpartying it up @ Beth`s  I`m back!",positive
 TOLD YOU!,neutral
 you givein lady ga ga arun for her money in that get up hee hee love it,positive
thanx peeps 4 following me,positive
psyching myself up for the next few days...oh my.,neutral
My moms Season 3 of Weeds got burnt up in a family friends mobile home.,negative
 I only happened to look on a random chance. Timing is everything.,neutral
Appreciation lunch at work. Good food! But sucks being here on my day off lol,neutral
No one is bringing snacks,neutral
It`s Friday!!!!....and the sun is out....but I`m working inside.,neutral
 http://twitpic.com/66st1 - please let me freee... I can`t watch you **** for much loongerrr!,neutral
"MIT bookstore has best book selection, but it`s the one bookstore I have no coupons or discounts for",positive
just got home  but about to leave again,neutral
 I know! I`m so slow its horrible. DON`T TELL ON ME!,negative
I lOve this day  No school --> studyin` quietly,positive
 no turkey leg? i can`t believe it!,negative
 _yeah thanks for that you pair of gits  (hope it`s mega- like the bus!),positive
"_d We might not get Movie Night this week.  Unless it`s like really early in the morning for you, lol.",neutral
 oh.. tnx for following cass.,neutral
 you said you **** up your nose!,negative
 hello- i`d like a little chat- but can`t DM you- is there a mail id?,neutral
 I sent u a direct message.. there`s my mail,neutral
" KH is the only thing I`ll be a weeaboo about.  I still prefer it in English but I`m impatient, haha",negative
Will be flying to Ontario in 4 hours!Will probably stay awake.I will be there for a 8 days...Camping 4 the first time YAY!I am sleepy now,positive
needs a job,neutral
I don`t like when my g1 changes.    I feel like google should send me an email and tell me all the things they`re gunna do to my phone.,negative
getting back from smackdown/ecw show,neutral
"so disappointed with human kind   'What`s wrong with the world?'  I have five girls in the garden, innocently enjoying the good weather...",neutral
Grand Indonesia with mom n sisters...,neutral
Done at the spa   now meeting vic for some late lunch!,neutral
@ 5 happiness (chinese) totally disappointed  the food is USUALLY good *FAIL*,negative
counting down the hours until I can finally drink this blossom hill  stupid work,neutral
" Poor Buddy, being teased by mini puggy  I think what you need is a #PUGHUG",neutral
_w thank you..,positive
 lucky girl!!! I work all day tomorrow! and maybe even Monday!!,positive
man i **** up that test  playing cod now . 31 days till the summer !,negative
Going to school =[ I`m actually not so tired today tho,positive
" Wow, really? I didn`t know it was that serious.  Well that sucks. Texas must have been chock full of asbestos.",negative
OCHH ive got blister on my foot over the sun today its soo sore  i supose yas dnt care hah just thaught i tweet it anyways,negative
"Anybody have advice on who to use for printing biz cards besides Overnight (bad experience) & PsPrint, each biz card = sep. project =",neutral
I wov you,neutral
 ok  i kinda thought so... i mean those 2? ... it would be funny though.,positive
"just paid $221/mo for a dedicated server . Would rather get a slice , but I using MS SQL",neutral
 wow that was easy! Thank you,positive
 Can`t access your site!,neutral
on a sunny walk round the lake this morning we met a mother goose and father goose and five baby goslings,neutral
  Mine are older than yours.,neutral
listening to jubey snoring on the phone  hehe goodnight,positive
 ._.; Thanxxx ! Now with that message I just wanna leave !! )= ! BYE !,positive
" Hey Sam, happy mothers day",positive
"yay for nice weather, boo for cici not being here this weekend",negative
 get  the twilightguy on your show,neutral
  Just amazes the heck out of me still....this 'internet thing',positive
listening to those litle hyperbirdies terrorizing the world since 4.30! lets cook em,negative
Goodmorning twitter bugs.. happy monday to you all! Today marks my first official day at my first fulltime job.. time to get ready!,positive
 Yes! I love him. I have seen the eps so many time that I quote his lines with him.,positive
" Yeah, I have seen the reviews and they are great! It is just that the reviews surprised me. Now getting tickets for tonight",positive
"unopened pack of goat cheese starin me in the face. starving, din not til 6",neutral
Hats off to a slightly unexpected yet very successful end to a grouling day!!! Night all,positive
That **** money sign. Ugh.,neutral
 OK. good to know.,positive
 I see. I guess there must be lots of Hawks fans in Texas on twitter.,neutral
" Morning John, yes I do, however I have a diary clash and sadly can`t attend!",neutral
my mum thought that my brother laughing was the cat about the throw up... smooth,neutral
dang i miss you  goodnight,negative
 Look at this ! http://twitpic.com/4wcqa  I can`t see them at all. What the heck..,negative
"Had a crazy night, lost keys, walked home, missed my papi`s calls from the swizzy.    I`m sad",negative
Why do people have 2 be so deceitful and unreal?  But my love for Steve Jones and Channing Tatum has been renewed lol...their soo nice,neutral
 re: the job ... still waiting my friend. Thanks for asking  * I just need a little ... ;) * ? http://blip.fm/~5jehr,positive
 It`s IQ is high when it comes to knowledge about how to swim round`n`round in the bowl...,neutral
Wow one of the nicest patients I`ve ever had! He`s being deplyod to falouga-Iraq n-week,positive
the mall i once worked at has turned into a very depressing place,negative
car just drove past my house blasting celine dion`s 'it`s all coming back to me now',neutral
"  lolll, i cba to get the sun stuff and i forgot that the back of my leg wouldnt gwt tanned lol. it hurts sooo bad right now",negative
"Cleaning out my desk, I`ve found a betting slip from three months ago, I stuck a tenner on #newcastle getting relegated. In the money",neutral
"This week meet me at OFFF, next Thu, Fri and Sat. And try there MIC and Surface.",neutral
Getting ready to launch the podcast of chapter 1 of 'Turning Left at Albuquerque' this morning. I know you`re excited - so am I!,positive
 I ake it you`re at work then and not lazing at home on a sunny bank holiday.,positive
"Visiting the grandparents in Manhattan, and dropping off my sister for the week! I wish I had an excuse to be so tired today..",negative
HAPPY MOTHERS DAY!,positive
"At the doctor`s office, waiting for Dr. Sufka to see me. Tired of being sick  hope everyone else is having better Friday than me.",negative
"srsly, nobody evr reply`s 2 me.",negative
 I love Broughty Ferry,positive
 No kidding there! Ugh ... One thing I know for sure - it won`t be me showing the property this weekend,negative
 I`m now a member of the street!!,neutral
ahh everyone`s out today taking in the sunny weather except me  might go and watch some tv...,neutral
walking back 2 wk. Its a beautiful day. had 2 njoy it b4 it rains,positive
 I`m in traffic on the 405 and I still don`t see the sun,neutral
 I`m sorry.,negative
OMGSH IM BEING FOLLOWED BY >>PARAMORE<< :O,positive
I hate Windows.  I miss my lovely Ubuntu   I`m such a nerd haha,neutral
"A sweltering afternoon no wonder the creepy, slithering snakes are heading to the creek. The nasty things can swim! Frightening detail!",negative
"Lobster dinner with MBA folks tonight, but no terasse, pouring rain in Mtl...",neutral
John making me wear a mask and gloves at work cause I`m sick. Says he doesn`t want to catch swine flu.  http://yfrog.com/02mxjj,negative
Feeling pretty tired and lonely,negative
Can`t change my profile or settings,neutral
 you can vote once per day per computer,neutral
playing Wii!,neutral
 ten update away from 2000 whooo hoooo budden!,positive
Sometimes I forget that boys have feelings too,negative
_hunter Ah now Comedy Central have Frasier all morning till twelve. So I guess there goes my morning,neutral
 Thanks amigo!,positive
not feeling well at all today! ugh cant I just go home.,negative
 leave Fraser alone,neutral
 Awww mate. that`s such a shitter,negative
"is having a profitable day!  Looking forward to Sunday...gonna be a great day -- sad, too, because it`s the 5th graders last day!",neutral
a trending topic: HAPPY STAR WARS DAY,positive
SNL after party,neutral
Soo sad my McMcBuddy thinks I look like I could have a little rainbow  ... I like burritos ok! BURRITOS!!!,neutral
 tell everybody i said happy mothers day!  love ya! #1 fan love you miley you rock,positive
This is great curl-up-in-a-ball-and-read later. I wish I had a book.,positive
_de_baillon,neutral
 is it bad that I sort of want her to miss me?  I know I will be missing her.,negative
 u have a lot  but the bad thing is we r gonna have finals all next week,neutral
"epic writing fail, ew. going to try and sleep",negative
New top!  http://tinyurl.com/cyd3pp,neutral
" Rest is important, but like everything else don`t over do it.",positive
 Belated kay Tita.  Wow! 2 prizes in a day! Congrats!,positive
http://twitpic.com/4j9fb - I really love this picture!,positive
 ehhehehe thanks,positive
walk was grand peeps lol feet are really hurting now thought  ****,negative
btw ian watkins has stopped following me  so i am a wee bit pissed off!,negative
 Hahhaa okaay ily! Lmfao,positive
 so you are like the rest of us on this miserable bank holiday.then LOL,negative
Wish I could go hear Mint Condition tommorow night,positive
#Happy Mother`s Day euch allen,positive
2 days after #all4web ...i`m still tired,negative
I was too sleepy earlier and i didnt get to see matt,neutral
" I know, that is so sad.  I",negative
My heart has been beating irregularly ever since last night. I don`t want to explode or implode,neutral
Sending love & respect to all the mommies out in the twitterverse! You all inspire me!!,positive
Had a long day at work. Stood home. Now sleeping to have another long day at work tomorrow & happy mothers day to all mothers,positive
I need one more follower.,neutral
 I know but unfortunately I`m one of the fifteen bazillions of Americans without health insurance.  awesome,neutral
   Hi Bruce  I am trying to eat healthy!  It`s kinda scary when I read 'Eat this Not that'  maggots and rat hair in our food,neutral
"i changed my picture  i am soo screwed, i have an assignment due tomorrow that i havent started, i just cant concentrate argh",negative
" Hi, I hope Ray is o.k. Please give him our love and hope he returns soon. Hope its not too bad",positive
Just lost Internet.  And I was in a raid for 25 OS.,negative
" Thanks, I found the link http://bit.ly/uxOFO  , however I think you need to be a customer to download it",positive
4th may officially announced as `bad luck day` ..,negative
_Neith James just doesn`t take a bad pic! Colossal loveliness! (wondering if I spelt colossal right...),positive
 dude... Can you really be a bachelor at this point?? Don`t worry about it.,positive
"Just woke up. I dreamed I had 9 new emails! Sadly, it was just a dream",negative
 yeah except the spurs aren`t in the champs like they usually are.,neutral
  ya i can never watch any of them :l,neutral
" Feeling inspired this evening, huh?",positive
 Hello there! Thankyou. I always seem to make a difference in  someone`s life everyday.,positive
 have a safe trip joshy poo.......you`ll knock them dead at your speech,positive
lovely night of steve-o and family guy. off to bed.,positive
 I CAN`T!!! My heart aches for her children  I wanna adopt alexis,negative
" I wish I can see that. They have CNN here again, with no volume.",positive
 aww  but typing from beyond the grave...impressive,positive
"i love pink, and i don`t care. today i shall not tweet as i have to hardcore work with jamie! have a nice day everyoneeeee  xxxxxxloser",positive
Eating pancakes  What is better than a day off with Stevie-J?,positive
cant sleep again! Been up for ages...,neutral
Just got home from the hospital.... i have another clot in my leg,negative
 wasnt it supposed to have been in for yesterday?,neutral
" http://twitpic.com/3goxn - yes , everybody love you. i`m a german Fan. Follow me !",positive
" nuuuuu, i totally love may, it`s the best for me cos i was born in may",positive
feels ****! and feet are aching  need my beeeeeddddddd!!!,negative
i just had the weirdest dream ever and can`t see because owi credo is too brighi. But i hate guys,negative
"happy mother`s day to all the mama`s out there, be greatful and appreciate your mama",positive
listening to ECHO by Gorilla Zoe ahh love that song,positive
Alcohol makes me tired. And I miss and want him so much. It hurts,negative
"been working all day, finally relaxing!! i miss you",neutral
"Rachel Allens date bars, so easy to make   http://twitpic.com/4jas7",positive
Saw the new Star Trek movie the other day. I strongly recommend it!,positive
"Supernatural was mega good  Now I`m off to bed, urgh long day of school tomorrow x",neutral
"Euh, got LDAP Schema Error  Why oh Why",negative
Now Im crying....  Poor thing..,negative
 Sorry to hear ur flight got cancelled  that blows!!!,negative
 I think we could be related,neutral
" last night after long drive, slept really well, now time for dino`s wasstraat",positive
Good Morning...hoping to throw back some coffee like right now!,neutral
:20somethin` single,neutral
 Are you okay?,neutral
I love my hair blowin in the wind,positive
_In_TX I know what you mean.,neutral
Is going to miss seeing everyone all the time,negative
 OK!  ~ you are such a wild one - can only imagine this one...,neutral
"Gus, formally known as world`s ugliest dog has died  We`ll miss you, Gus http://bit.ly/exjcn",negative
My assistant had me watch The Notebook. I miss Deborah,negative
"finally gone to the beach, yeaaaah!",positive
 have you check oceanup?'miley cyrus justin gaston fight after lunch' you ok with justin?hmmm.im with you whatever happen,positive
Yep. That good feeling didn`t last.  back to sleeping for me.,positive
Taping at Cox then picking up starbucks for the office bc I am so nice,positive
"Sitting in mels house, just finished eating mcdicks, laughing at all the dumb stuff I said tonight!! Ready for bed? I think so",positive
 I`m trying to convince  to wait a bit to see Up! as well. She doesn`t want to see it with me,neutral
"simple recipe for creamy spaghetti with bacon, corn, mushrooms and peppers  http://bit.ly/KtfBR",neutral
iono...I guess I`m getting off now. L8r twits,neutral
"Watching Twilight again  !!! <3 I`m watching the Audio Commentary, it`s sooo funny ;)",positive
I am watchinggg the new video of  Its sooo good  Addicted!,positive
" that is cute, a manly cute of course.  reminds me of a Scion",positive
_Cullen8 i hate the rain *laughs*. thanks *smiles* i miss her loads i couldnt stop crying before,neutral
http://twitpic.com/4w3he The pretty flowers john mains brought the ladies 2nite!,positive
Ugh sittin at work waiting for the carpets to be cleaned.  I was suppose to be out by 7,negative
Is now back at the school working on the bach.project,neutral
Dangit...cuz of this weather the house painting is going to be dragged out till next week.,negative
 i don`t even know what sporting social enterprise means....,neutral
"Getting used to getting up in the cold, but my asthma is paying for it.",negative
Going To the dentist,neutral
  i know. it sucks,negative
ohay clean teeth,positive
"It`s 6 am, I haven`t been to bed yet, and I just got my second wind.  Guess I should edit or read or something until I feel tired huh?",neutral
feel so out of the loop. no twitter on my desktop and haven`t listened to  weekly or read engadget in ages,negative
Is anyone else having a bad Friday? Is not a fun day today.,negative
"Room is clean, now it`s time for breakfast",neutral
 unfortunatley it is the tooth kind of crown,negative
 I totally agree! And there`s no way to avoid it,neutral
My Twitteeeerrr babiieshow Ive missed you  I hate this whole not having a phone thng,negative
 If only we could ever actually be allowed to stay here and do that,neutral
 I guess that`s true!,positive
time to hit the study notes! prep for friday`s exam!,neutral
" it`s stable, faster than 2.x and working.",neutral
" Alright, sorry. But I think you should go anyways",negative
"Graduation tonight  I`m gonna miss my boys...Mikey, Dustin, Miles, Charlie, Travy, Nicky, John, Jake, all my boys...I love you guys",positive
  AAAAAAHHHHHHHH !!!!!  SOOOOOOOO SWEEEEEEET !!!!!!  I miss that age ..... SOOOO MUCH !,neutral
 my name too    (Soulja Boy Tell `Em LIVE live > http://ustre.am/2UhS),neutral
im tweeting... this is so hard... i dont get it...,negative
"My new design portfolio is finally online: http://www.designia.nl - Still needs some tweaking on the details but it`s ok for now,",neutral
It figures. It starts raining as I am freed from work,positive
Eh.. it`s cold,neutral
  13:00 is kickoff. The red cars hopefully,positive
" I don`t think any of what i just said it true, i just had a rant about mcfly, i cant belive i did that  i feel ashamed",negative
At the DMV uhhhg!,neutral
Dinner with the fam... I have missed them,negative
Good Morning Tweeties,positive
" Wah, why are you sad?",neutral
Going crazy  super head ach from hell and my the in laws have ben here since 9 this morning. ahhhh,negative
Just finished watching He`s Just Not That Into You.  Loved it.,positive
 I`m only 6` 0',neutral
"These kids are terrible! If I was in Good Evans, I`d call Childline",negative
